name,mass,temperature,distance,radius,luminosity
Sigma Librae,2.2,3596,288,108,1820
Capella,0.53,3700150,43.38,0.540.03,
Alpha Trianguli Australis,7,4150,391,,5500
Cebalrai,1.13,4467,81.8,12.42,63.4
Iota Orionis,5.12,18000,412,5.4,8630
Beta Canis Minoris,3.5,11772,160,3.5,195
Beta Canum Venaticorum,0.970.04,6043183,27.63,1.1230.028,1.1510.018
Denebola,1.78,8500,35.9,1.728,15
Epsilon Pegasi,7.07,3963,690,211,3895
47 Ursae Majoris,1.08,5887,45.30,1.172,1.48
Alpha Herculis,,7350,,284,26
Alpha Delphini*,,,,,
Beta Aquarii,4.970.10,560871,550,47.88,2046180
Sirius,1.018,25000,8.709,0.0084,0.056
Epsilon Eridani,0.820.02,50845.9,10.475,0.7350.005,0.34
Pi Sagittarii,5.9,6590,520,,
Alcyone_(star),5.9,12258,136,9.30.7,2030
Alpha Cephei,2.000.15,7700170,49.05,2.1750.046,17
Epsilon Cygni,,4710,72.7,10.82,62
Gamma Andromedae,23.70.1,4250,260,80,2000
Alpha Crateris,1.81,4.691,141,12.32,66.0
Alpha Coronae Australis,2.57,9916337,125,2.21,31
Zeta Phoenicis,2.536,12000,300,1.885,66
Beta Herculis,0.9,4887,139,17,151
Lambda Sagittarii,2.6,476836,78.2,11.2340.181,58.792.61
Rho Puppis,1.85,6920,63.5,3.41,22
Mu Geminorum,2.1,3460,230,80,1148
Gamma Aquilae,3.510.23,409856,395,91.81,2146139
Zeta Tauri,0.94,15500,,5.5,4169
Gamma Virginis,1.56,6757,38.1,,
Eta Piscium,3.780.16,493740,350,26.482.15,457
Beta Piscium,4.7,15500,410,3.6,523.6
Beta Corvi,3.70.1,510080,146,16,164
Xi Cancri,,5101,370,,118
Baten Kaitos,,,,,
Zeta Ceti,2.34,458114,235,25,240
Castor,,,,,
Omega Herculis,2.14,10052320,250,3.30,70
Omicron Persei,10,21000,,8.9,
Beta Aquilae,1.260.18,507137,44.7,3.0640.020,5.600.17
Alcor_(star),0.25,8221,81.7,1.846,14.03
31 Lyncis,1.950.18,392119,380,53.27,782.460.3
Eta Ursae Majoris,6.1,15540,103.9,3.4,594
Alpha Leporis,13.9,6850,2200,75,12023
Alpha Vulpeculae,0.97,3690,291,43.14,415.9
Iota Carinae,7.4,7500,690,43,4900
Lambda Leonis,,3900,329,45,472
Omicron Ursae Majoris,3.09,5242,182,14,138
Beta Carinae,3.5,8866,113.2,6.8,288
42 Draconis,0.8790.050,428016,315,21.760.43,142.555.77
Beta Eridani,2.0,8360,90.0,2.4,25
Beta Ceti,2.8,4797,96.3,16.780.25,139.17.0
Upsilon Scorpii,11.4,22831,580,6.1,7381
Omicron Piscium,3.03,5004,280,14.57,132
Delta1 Tauri,1.280.1,5000,156,11.4,69
Alpha Aquarii,5.130.06,538374,520,52.89,2120167
53 Eridan,,,,,
Beta Arietis,1.34,9000,59.6,,1.3
Gamma BoÃ¶tis,,,,,
Beta Pegasi,2.1,3689,196,95,
Saiph,15.501.25,26500,650,22.2,56881
Polaris,1.39,6900,323433,1.38,
Mu Sagittarii,9.8,20900,920,12.2,2450
4 Andromedae,1.580.44,427592,337,25.9,170
Gamma Eridani,,3811,192,80,1259
Delta Leonis,2.2,8296,58.4,2.14,15.5
Theta Columbae,4.130.09,9916,720,,472
Eta Draconis,2.55,5055,92.1,11,60
Epsilon Carinae,7.30,20417,610,,
Pi1 Cygni,10.10.1,183601100,1700,5.6,16538
Omicron1 Eridani,1.95,6963,122,3.70.1,27
Theta2 Tauri,2.67,5080,157,10.55,71
Rho1 Cancri,0.2640.007,332051,40.95,0.2680.009,0.007880.00013
Beta Tauri,5.00.1,13824475,134,4.2,700
Iota Draconis,1.56,4545,101.2,11.83,55.3
Gamma Draconis,1.72,3930,154.3,48.15,471
Gamma Crucisâ€‹,,,,,
Gamma Scorpiiâ€‹,,,,,
Lambda Draconisâ€‹,,,,,
Delta Draconisâ€‹,,,,,
Arkab Posterior,1.43,7035239,134,,20
Alphecca,0.92,5800,75.0,0.90,0.81
Proxima Centauri,0.12210.0022,2992,4.2465,0.15420.0045,
Polaris Australis,1.59,7415252,294,4.4,44
Alkalurops,1.05,5900,119.85,1.09,1.06
Algedi,2.050.29,5030160,102,8.380.58,40.42.2
Aldebaran,1.160.07,390050,65.3,45.10.1,43917
Epsilon Aurigae,6,15000,,3.90.4,
Alpha Corvi,1.39,7041,48.7,,4.91
Beta Lyrae,13.16,30000,1080,6.0,26300
Kappa Aquarii,,4581,214,13,60
Delta Aquarii,2.51,8650,113,2.4,48
Alpha Sagittarii,2.95,12387421,182,,117
Beta Cygni,3.7,13200,400,2.59,
Acrux,15.52,28000,320,5.4,16000
Epsilon Aquarii,2.980.03,9622327,208,2.5,138.0
Xi Andromedae,2.5,4656,223,10,45.7
Lambda Virginis,1.721,8280200,173.4,1.84,12.580.16
Eta Pegasi,3.510.13,497065,196,24.51,330.835.0
Eta Coronae Borealis,1.19,,58.3,,
Upsilon Andromedae,0.2,621344,43.97,1.4800.087,3.57
Lambda Ursae Majoris,2.11,9247314,138,2.3,37
Beta Columbae,1.10,4545,87.2,11.5,
Epsilon Draconis,2.7,4993,153,11.15,69.61.12
Iota Virginis,0.6,6282,72.5,2.5,8.7
Merope_(star),4.25,14550,460,7.7,927
Beta Crucis,10,270001000,280,8.40.6,34000
Theta Centauri,1.27,4980,58.8,10.6,60
Beta Andromedae,2.49,3842,197,100,1995
